xi,H,eta,rho
0.149536,0.0434,3.61933,-0.388441
0.0857337,0.273665,1.15014,-0.625608
0.083699,0.175295,3.80793,-0.313564
0.0852972,0.496058,1.09866,-0.585736
0.158215,0.445583,1.18899,-0.932091
0.123707,0.110238,1.72707,-0.324459
0.0598812,0.200668,1.27652,-0.375891
0.0969192,0.39198,2.86389,-0.550152
0.0965027,0.0868998,0.923652,-0.311191
0.0738938,0.320925,3.82904,-0.604702
0.029189,0.445179,2.05788,-0.692907
0.0797259,0.0613085,1.61238,-0.620004
0.0387672,0.355863,1.37557,-0.318994
0.128195,0.384408,1.46488,-0.661147
0.0385137,0.233511,2.72888,-0.260254
0.138653,0.417477,1.23819,-0.598324
0.0172513,0.491165,1.64957,-0.117634
0.157748,0.265587,3.38476,-0.478292
0.0237083,0.0841702,1.33112,-0.565239
0.0623128,0.464222,3.25648,-0.665386
0.134349,0.459798,2.00016,-0.539192
0.110479,0.0399751,1.49591,-0.213485
0.104259,0.359585,1.15203,-0.798454
0.141618,0.231116,1.11641,-0.789885
0.085458,0.113035,0.906651,-0.266758
0.0652493,0.19145,0.728867,-0.82055
0.0308593,0.388223,3.26466,-0.860595
0.0441645,0.422325,3.87857,-0.920973
0.0799845,0.18704,2.44362,-0.275931
0.0262399,0.283415,3.14688,-0.47892
0.0805099,0.0894048,1.93909,-0.483765
0.0600655,0.372011,3.12928,-0.674469
0.0825295,0.428938,2.27827,-0.665287
0.0273653,0.344019,1.8112,-0.107723
0.0981955,0.265307,3.25213,-0.658393
0.0916797,0.467971,1.98933,-0.569224
0.0719047,0.0990174,3.78119,-0.849992
0.0656146,0.318367,0.695068,-0.2717
0.0370724,0.24315,3.11919,-0.347987
0.0563296,0.420783,2.82789,-0.204496
0.135852,0.299509,3.5758,-0.860593
0.0873743,0.143047,3.90815,-0.94127
0.121842,0.31449,1.49596,-0.554014
0.10407,0.148337,0.457209,-0.94771
0.153758,0.168567,1.4627,-0.495244
0.0184128,0.0553258,2.36163,-0.18861
0.0356172,0.341374,1.66184,-0.410842
0.0243324,0.176058,1.56239,-0.695734
0.15092,0.462926,0.393735,-0.423239
0.108206,0.222673,0.324921,-0.915799
0.0799402,0.218764,2.939,-0.377214
0.0517367,0.158093,1.68049,-0.927878
0.100526,0.397823,2.11997,-0.911236
0.0429617,0.0486244,3.6697,-0.782588
0.117802,0.186069,0.871229,-0.340453
0.0320345,0.499703,3.83067,-0.468396
0.0744378,0.487111,1.82272,-0.852746
0.0142829,0.470923,1.95108,-0.604712
0.0548411,0.374897,1.84847,-0.71079
0.115635,0.401809,1.26887,-0.538278
0.0381221,0.17073,3.04894,-0.536865
0.134919,0.0827971,2.23473,-0.842828
0.101188,0.170563,2.59346,-0.613896
0.077878,0.317317,3.53871,-0.30919
0.0654629,0.0386621,1.47204,-0.470632
0.14243,0.217864,3.04474,-0.76315
0.121664,0.473201,1.56161,-0.434911
0.122938,0.454666,3.6808,-0.669677
0.129561,0.0639583,0.975761,-0.477377
0.155235,0.0930245,1.91781,-0.740136
0.0258123,0.176335,2.45399,-0.267638
0.0956054,0.198179,1.32167,-0.14469
0.0698877,0.208316,3.61228,-0.751973
0.0965337,0.292024,3.66692,-0.140789
0.152044,0.182456,0.53189,-0.360851
0.0647799,0.458099,3.01997,-0.808163
0.12247,0.216129,0.508259,-0.800663
0.0109426,0.332614,3.07414,-0.323508
0.129183,0.44093,0.932004,-0.944984
0.0658267,0.0575959,1.25202,-0.154969
0.149333,0.354581,2.51913,-0.616944
0.0859378,0.0820932,1.36079,-0.706989
0.145863,0.238187,1.58938,-0.704539
0.042268,0.250479,1.11267,-0.446431
0.0701209,0.120645,1.03197,-0.435396
0.0183733,0.287848,2.87679,-0.587555
0.0661225,0.343925,2.65211,-0.503732
0.0268245,0.07009,1.69703,-0.132965
0.132717,0.202273,3.8676,-0.620209
0.108952,0.452881,3.30705,-0.566485
0.0428753,0.0286845,2.04046,-0.107025
0.0750291,0.125441,1.69231,-0.941395
0.149865,0.196681,1.56289,-0.347214
0.120851,0.149522,1.86218,-0.241486
0.114766,0.186332,1.41827,-0.163526
0.0156956,0.0733631,2.86259,-0.290136
0.0269146,0.487059,3.46725,-0.332635
0.145899,0.33255,0.428902,-0.76698
0.127071,0.111129,2.57061,-0.148569
0.126172,0.0822041,0.971752,-0.466741
0.0581399,0.129699,1.51743,-0.734752
0.077623,0.411933,1.21149,-0.64159
0.138982,0.421465,2.69175,-0.153592
0.0829464,0.134514,3.8108,-0.281626
0.0647184,0.397275,0.510149,-0.379878
0.0508771,0.452439,1.63773,-0.393718
0.0648785,0.202676,1.84955,-0.232339
0.0760184,0.14132,1.9163,-0.214264
0.100923,0.478954,1.0537,-0.103748
0.153417,0.160013,2.21895,-0.435616
0.0337272,0.0956855,2.15259,-0.19057
0.0717621,0.434808,2.61323,-0.624864
0.0439257,0.272362,1.23625,-0.543153
0.0338358,0.33676,3.80137,-0.236769
0.0536268,0.204346,2.16027,-0.906118
0.126951,0.492511,1.65652,-0.677444
0.133674,0.143352,3.42364,-0.509535
0.0558516,0.401989,2.77604,-0.280427
0.121869,0.213997,2.0435,-0.719561
0.0251853,0.358854,2.36553,-0.623431
0.159702,0.180526,1.27032,-0.598272
0.090303,0.471898,3.03995,-0.350994
0.0736575,0.172685,2.49867,-0.338728
0.121044,0.251178,2.54807,-0.855083
0.076026,0.258369,3.33513,-0.84496
0.0411813,0.0344635,1.03686,-0.591484
0.0167037,0.338336,1.72292,-0.393057
0.129442,0.1523,0.865882,-0.184739
0.0351019,0.369806,2.54371,-0.885706
0.0252089,0.140583,2.74222,-0.494981
0.119266,0.0931227,2.76251,-0.162543
0.0770293,0.031481,0.764444,-0.891002
0.0848037,0.334252,0.350606,-0.801731
0.0683975,0.349723,2.61209,-0.886499
0.0837144,0.0688993,0.838206,-0.806062
0.0876872,0.404468,3.83751,-0.59497
0.119262,0.192077,1.26248,-0.937974
0.138678,0.258884,1.55339,-0.112348
0.111587,0.284417,1.39621,-0.458721
0.0227138,0.18161,1.40771,-0.314082
0.0555566,0.353618,3.16067,-0.749739
0.0826017,0.295273,1.40824,-0.538691
0.12963,0.246718,2.36047,-0.41308
0.124512,0.244744,3.12554,-0.127287
0.0877167,0.149842,0.644243,-0.313054
0.0919512,0.391778,1.2615,-0.269494
0.13935,0.38241,0.786043,-0.448844
0.145828,0.169653,2.83336,-0.164276
0.0266649,0.0522748,1.99048,-0.314589
0.118337,0.261043,1.42417,-0.774296
0.0364018,0.278419,2.50442,-0.40422
0.103556,0.439291,0.374815,-0.694591
0.0967336,0.217671,1.09315,-0.503608
0.0436558,0.11514,1.89687,-0.921989
0.156205,0.0832955,2.59089,-0.277961
0.149165,0.468469,0.98848,-0.78549
0.130298,0.354532,1.93684,-0.202073
0.103724,0.0846086,2.70874,-0.797121
0.0105521,0.0426022,1.76572,-0.343519
0.0817161,0.330918,2.95664,-0.853068
0.150604,0.176036,2.66644,-0.549453
0.053021,0.330219,1.12728,-0.109183
0.113254,0.0377801,3.40161,-0.127961
0.13201,0.112807,0.508095,-0.810398
0.0654259,0.43949,2.84478,-0.234783
0.123496,0.137383,1.57986,-0.732329
0.0622776,0.185964,1.96777,-0.419598
0.104458,0.471258,3.34605,-0.853012
0.0852147,0.06127,1.32733,-0.44615
0.0789239,0.23625,1.74525,-0.597881
0.141408,0.446474,2.00358,-0.751432
0.0437728,0.344764,1.7604,-0.423656
0.0384287,0.305424,3.68337,-0.686904
0.107589,0.028163,1.86909,-0.167524
0.0607761,0.1411,1.93719,-0.540584
0.0197266,0.076453,3.91649,-0.349811
0.0769016,0.414644,2.85357,-0.814863
0.119345,0.263939,2.34668,-0.268754
0.0903208,0.325971,0.972969,-0.843065
0.111505,0.329382,1.589,-0.513752
0.112486,0.0393505,0.982918,-0.365208
0.0409667,0.211339,3.85424,-0.45487
0.0921338,0.301558,1.42485,-0.39596
0.0744662,0.278999,1.35284,-0.307375
0.0550313,0.188543,2.33667,-0.440646
0.0234996,0.0559396,3.57608,-0.59207
0.0624182,0.143046,2.83305,-0.371159
0.0666604,0.45891,3.17572,-0.849083
0.0695275,0.26166,0.755644,-0.692916
0.157005,0.26604,0.978835,-0.221656
0.147922,0.04572,1.51632,-0.807942
0.0561806,0.1543,0.688652,-0.506648
0.0794355,0.167059,3.20238,-0.127895
0.120727,0.344236,2.14168,-0.452327
0.013913,0.398704,2.36785,-0.727518
0.012298,0.0329404,0.968102,-0.376549
0.132709,0.205346,2.60484,-0.796762
0.0325093,0.19855,1.24793,-0.5815
0.0473878,0.397783,0.644664,-0.805826
0.0799582,0.422036,2.86457,-0.278345
0.136164,0.217774,1.24557,-0.876565
0.0280752,0.100917,2.66786,-0.602446
0.0893079,0.226858,2.40588,-0.329974
0.0693687,0.105656,1.37179,-0.24432
0.0927874,0.256715,0.397969,-0.171985
0.0801993,0.241148,3.40785,-0.943704
0.0385003,0.142222,3.5303,-0.934358
0.154386,0.285386,1.59849,-0.386279
0.0668341,0.280012,2.3789,-0.842574
0.0126671,0.420206,3.23337,-0.529165
0.148887,0.118065,3.80854,-0.716958
0.106533,0.0487291,3.95125,-0.439845
0.141438,0.321299,0.597367,-0.513766
0.107496,0.249681,3.28602,-0.44659
0.0694416,0.0936869,2.19304,-0.355154
0.136807,0.443724,2.76174,-0.929623
0.128607,0.0559776,3.23534,-0.903941
0.0493366,0.239578,3.46521,-0.551275
0.114281,0.32399,3.16499,-0.543528
0.0587877,0.174663,2.56846,-0.399841
0.113888,0.272569,0.527711,-0.694816
0.131348,0.394466,3.50481,-0.565839
0.0568715,0.432634,2.94549,-0.914204
0.123762,0.234671,1.57959,-0.825142
0.0329563,0.0299101,2.87566,-0.929929
0.0499982,0.0398571,3.34379,-0.382928
0.0471916,0.339126,3.91038,-0.588552
0.14591,0.293309,1.98603,-0.474692
0.122711,0.248309,0.636661,-0.56002
0.0146718,0.274854,2.84514,-0.841806
0.115178,0.267636,1.50605,-0.838716
0.0393425,0.0568071,3.00815,-0.825276
0.10557,0.495751,2.04884,-0.154314
0.0471804,0.198467,2.96897,-0.212812
0.073425,0.447583,2.2644,-0.252165
0.155278,0.396686,3.23584,-0.33705
0.0716954,0.255456,3.0885,-0.157655
0.0947573,0.0917306,2.44897,-0.312115
0.0286969,0.265011,3.58456,-0.875764
0.0716229,0.27435,2.79273,-0.802801
0.0923171,0.434385,1.42046,-0.434533
0.0277241,0.314471,2.60144,-0.774896
0.104228,0.291256,3.11077,-0.749593
0.0859345,0.361715,3.12874,-0.490057
0.042779,0.25875,3.08395,-0.595244
0.0301739,0.0407262,2.93684,-0.48438
0.0447471,0.167595,1.76959,-0.713076
0.0334158,0.0369854,1.67653,-0.324698
0.0109549,0.465808,3.40827,-0.1053
0.11729,0.182636,0.697156,-0.46221
0.14368,0.323978,0.529457,-0.767381
0.0569524,0.157541,0.362202,-0.900428
0.100559,0.380244,2.21246,-0.418104
0.014122,0.19729,1.99427,-0.611204
0.0229732,0.0888718,1.19343,-0.749376
0.0331787,0.109842,0.822661,-0.545654
0.0184585,0.207259,2.96795,-0.389565
0.131967,0.291987,1.60374,-0.546126
0.0352335,0.420994,2.97815,-0.419704
0.0512289,0.071665,0.697052,-0.390386
0.0807792,0.435916,0.799944,-0.597166
0.107586,0.308854,3.33514,-0.331812
0.0342511,0.384738,2.84947,-0.592994
0.1204,0.368006,0.370297,-0.53252
0.134085,0.150329,2.00398,-0.88682
0.147997,0.308467,2.87479,-0.112156
0.0249857,0.129459,2.63532,-0.925932
0.0383601,0.231785,3.27994,-0.546238
0.0923541,0.120318,1.40161,-0.632091
0.0964637,0.282801,2.34455,-0.414443
0.0274124,0.0991844,3.32656,-0.105772
0.0596771,0.0804385,2.99827,-0.58384
0.0811556,0.427255,0.883433,-0.373689
0.0343052,0.218258,3.94207,-0.281942
0.058279,0.2186,2.46178,-0.228723
0.0205205,0.239918,1.99626,-0.487168
0.0239484,0.108657,3.21626,-0.33901
0.0259968,0.0520792,2.42877,-0.803534
0.128661,0.26787,3.36014,-0.591747
0.0836895,0.0852111,0.416507,-0.8515
0.106934,0.17112,3.68094,-0.348463
0.0879295,0.377013,3.47291,-0.258679
0.114488,0.0252136,3.195,-0.89243
0.145989,0.393412,2.13367,-0.842582
0.155163,0.352884,0.585203,-0.91247
0.0531037,0.263657,2.91577,-0.594952
0.128411,0.0323754,2.32803,-0.166961
0.0320596,0.26956,2.833,-0.183882
0.152957,0.0723152,2.34309,-0.91305
0.0431606,0.2157,3.74167,-0.213433
0.147475,0.252267,0.469323,-0.800364
0.155125,0.0435008,3.67096,-0.223781
0.0428814,0.422666,3.62107,-0.744606
0.0411564,0.420911,0.729998,-0.406464
0.0252792,0.257927,2.70935,-0.168653
0.0849215,0.453881,3.95893,-0.318368
0.048139,0.122886,2.81268,-0.531382
0.0645698,0.276584,3.30347,-0.714674
0.0203263,0.236995,3.37976,-0.799542
0.143704,0.189006,2.26419,-0.698029
0.0978879,0.443338,3.94963,-0.655697
0.108558,0.102106,2.49479,-0.404437
0.108261,0.220943,2.86248,-0.245889
0.132213,0.169883,1.70881,-0.728442
0.142992,0.495489,0.325978,-0.711842
0.0284726,0.399002,2.78984,-0.856142
0.095421,0.442688,1.37618,-0.196992
0.153086,0.0458795,0.413503,-0.325809
0.022611,0.470587,2.96922,-0.549067
0.10371,0.252921,2.58366,-0.445876
0.130485,0.265661,0.716885,-0.394893
0.139412,0.117866,1.68053,-0.7707
0.039891,0.338172,2.72098,-0.741246
0.15593,0.396598,3.15157,-0.377654
0.0873166,0.202598,0.346128,-0.208556
0.140747,0.0334437,0.832754,-0.179869
0.0929161,0.201451,1.09906,-0.449261
0.0664435,0.10898,3.89972,-0.339305
0.105496,0.145467,3.1659,-0.753306
0.0546344,0.0473562,0.484933,-0.343218
0.100848,0.159406,0.331652,-0.306348
0.149461,0.129297,3.71494,-0.557445
0.147235,0.0940871,3.64449,-0.172684
0.0349586,0.368201,1.41547,-0.451892
0.0723348,0.383779,2.32265,-0.693565
0.133113,0.0394574,1.46062,-0.61425
0.106436,0.18184,1.8398,-0.569382
0.0172873,0.482406,2.03839,-0.195686
0.0168271,0.259309,2.99457,-0.600929
0.0785658,0.412097,1.22896,-0.281357
0.0657335,0.218696,2.86311,-0.262041
0.0697552,0.0613676,0.664391,-0.716593
0.0175914,0.311927,2.35082,-0.296749
0.125857,0.29369,3.78978,-0.912569
0.104992,0.328179,0.910568,-0.928401
0.0557341,0.177499,2.08182,-0.50344
0.0240452,0.475412,3.49867,-0.651615
0.0591006,0.48718,1.91098,-0.419392
0.101418,0.366444,1.4139,-0.90541
0.0734849,0.358256,3.69747,-0.55701
0.0307022,0.343739,3.67446,-0.276966
0.123643,0.465353,2.51766,-0.872822
0.106387,0.454193,2.0715,-0.793975
0.0692808,0.216201,2.70231,-0.754599
0.0786792,0.22722,0.726312,-0.210596
0.0329346,0.239442,3.15469,-0.290897
0.0262837,0.290186,3.0117,-0.825415
0.0495349,0.432944,3.62809,-0.414694
0.0740653,0.0747909,3.05402,-0.817452
0.0765561,0.49033,0.449881,-0.626396
0.0213897,0.323733,0.842531,-0.328246
0.0504942,0.182532,0.542971,-0.526263
0.0885917,0.333635,2.37371,-0.771038
0.0417015,0.0791655,3.36071,-0.553599
0.116466,0.311215,2.50173,-0.109381
0.098539,0.287388,1.65407,-0.504635
0.107055,0.390266,3.19891,-0.773981
0.043645,0.0872951,2.31214,-0.729113
0.020432,0.328999,3.00384,-0.236742
0.0793554,0.25956,1.28808,-0.112607
0.142793,0.451457,2.93036,-0.348104
0.101585,0.324669,3.10142,-0.761734
0.0437345,0.486717,3.75599,-0.321606
0.0192222,0.317696,2.62688,-0.134319
0.0799627,0.18047,2.80609,-0.150391
0.0215411,0.287991,1.24512,-0.101258
0.0233792,0.174651,2.08382,-0.832326
0.0851824,0.350649,1.59653,-0.390927
0.0488785,0.416178,1.52709,-0.801585
0.0604283,0.0254544,3.4661,-0.327365
0.131042,0.300033,1.54712,-0.497785
0.146546,0.166709,3.73145,-0.36644
0.0998979,0.0879585,1.38009,-0.11897
0.134058,0.328657,2.60484,-0.739011
0.072782,0.365945,2.65924,-0.479147
0.098652,0.219768,3.40951,-0.937589
0.0722735,0.357857,2.66874,-0.925403
0.14351,0.446089,1.53441,-0.140252
0.140201,0.367062,2.98138,-0.134125
0.0928865,0.371115,2.71631,-0.859603
0.115667,0.325737,0.874342,-0.469138
0.134281,0.333388,1.30079,-0.21253
0.0284118,0.131013,1.13595,-0.706758
0.0886733,0.328965,1.62234,-0.420781
0.14926,0.126078,2.21583,-0.443703
0.0720299,0.335995,2.60488,-0.130732
0.139063,0.345454,3.15069,-0.91525
0.084233,0.410763,3.02442,-0.839377
0.159748,0.42719,1.11265,-0.591704
0.157666,0.307509,2.61058,-0.463164
0.156126,0.482311,3.34559,-0.892283
0.0999207,0.168183,3.86931,-0.601313
0.0698447,0.190056,2.29118,-0.781401
0.0816584,0.111329,1.19678,-0.239686
0.0342576,0.264917,1.65352,-0.123444
0.15766,0.284381,1.03387,-0.377098
0.155106,0.107768,3.55163,-0.383396
0.0743319,0.473218,0.786396,-0.773458
0.0371796,0.260997,3.22021,-0.678087
0.0301273,0.318882,3.67857,-0.558843
0.075002,0.102719,1.76693,-0.784544
0.130713,0.0284809,0.91177,-0.218365
0.129746,0.109045,1.07929,-0.359648
0.0941887,0.212329,1.11925,-0.430573
0.035123,0.0823216,2.24899,-0.524151
0.131822,0.434636,3.69698,-0.74154
0.125543,0.225608,1.16918,-0.330597
0.136596,0.233592,0.505918,-0.672733
0.0444766,0.423073,3.33618,-0.101475
0.0823622,0.283679,1.60491,-0.268595
0.0626945,0.377505,1.2521,-0.7506
0.0701497,0.200803,2.42205,-0.281119
0.0942744,0.106134,3.09985,-0.93411
0.109614,0.298919,2.76552,-0.611808
0.0153592,0.131381,3.7613,-0.683259
0.030892,0.262237,2.1569,-0.749174
0.155373,0.17163,0.977634,-0.186626
0.0453214,0.429868,1.54588,-0.489839
0.135303,0.403891,2.08429,-0.710841
0.0730246,0.187139,1.0341,-0.257996
0.127183,0.284786,3.48751,-0.807033
0.152699,0.20127,3.60334,-0.57591
0.12108,0.408576,3.58289,-0.477138
0.031536,0.447551,3.48028,-0.87928
0.129716,0.418936,3.31968,-0.321764
0.146034,0.0420971,0.945819,-0.461507
0.0885865,0.231432,3.2184,-0.46688
0.0592712,0.379778,0.964967,-0.301157
0.0886166,0.407517,2.71218,-0.450152
0.0783728,0.0660631,3.01383,-0.282164
0.0416415,0.226742,2.66149,-0.640955
0.0945265,0.215044,2.7113,-0.593059
0.0357046,0.329008,2.04219,-0.497998
0.0304228,0.236473,1.26488,-0.470091
0.0753899,0.307025,0.975278,-0.620941
0.0299669,0.491131,2.88988,-0.52614
0.0311795,0.147877,2.5939,-0.354883
0.129689,0.0898519,3.31245,-0.261509
0.0764742,0.382751,1.50549,-0.289553
0.0936924,0.154244,0.707997,-0.585444
0.0676683,0.394005,1.48956,-0.315316
0.089153,0.0982693,1.63425,-0.61622
0.139485,0.382314,2.69461,-0.670781
0.0460599,0.0877477,3.16768,-0.431263
0.0657429,0.45496,1.25478,-0.307235
0.144366,0.103436,2.74415,-0.103855
0.0643791,0.493981,1.14378,-0.88826
0.141686,0.0965432,2.93444,-0.419565
0.132018,0.317195,3.09907,-0.100787
0.144077,0.043704,0.964463,-0.891597
0.154946,0.414253,3.71593,-0.170781
0.078342,0.28658,0.556007,-0.563047
0.0416891,0.141912,1.59163,-0.574467
0.0982934,0.0756564,2.08542,-0.554324
0.02989,0.195005,1.21385,-0.415419
0.110521,0.0380122,0.416808,-0.179245
0.116609,0.374483,3.86199,-0.157832
0.153174,0.468098,0.950619,-0.825594
0.101528,0.140564,3.74278,-0.912513
0.109359,0.413675,1.59203,-0.757594
0.0896247,0.363676,3.29697,-0.894908
0.0510052,0.137303,2.22604,-0.814591
0.0469597,0.381657,3.85218,-0.373886
0.137493,0.301823,0.788416,-0.425616
0.0406754,0.366179,1.23921,-0.330844
0.121991,0.242531,0.779887,-0.38953
0.0146891,0.139317,1.03815,-0.218374
0.128439,0.438953,1.60689,-0.132203
0.111176,0.392913,2.527,-0.402124
0.0561408,0.484633,1.42003,-0.117951
0.0361351,0.130355,2.43623,-0.890988
0.103183,0.26068,2.27352,-0.71229
0.0191433,0.373827,1.48446,-0.594063
0.129362,0.101744,3.90607,-0.463795
0.108372,0.498349,0.961663,-0.583964
0.147032,0.354056,3.34917,-0.60049
0.0699581,0.421035,3.76348,-0.850964
0.0534335,0.267783,3.63815,-0.599531
0.0423083,0.203495,2.85754,-0.439334
0.136776,0.0506,1.01494,-0.163374
0.0816041,0.0547677,1.96207,-0.10718
0.0604519,0.110506,2.96723,-0.241112
0.05076,0.429532,2.59912,-0.417994
0.158398,0.0300398,1.07207,-0.415673
0.101983,0.112128,3.49898,-0.914648
0.132762,0.398492,1.15015,-0.10635
0.0607932,0.415818,1.70427,-0.143101
0.109617,0.236105,2.88274,-0.500556
0.0968665,0.349768,1.60475,-0.200553
0.10219,0.361747,3.99589,-0.141736
0.0155762,0.282112,2.59265,-0.54639
0.159323,0.484063,1.69501,-0.420065
0.0121455,0.366248,1.75367,-0.337625
0.138283,0.281778,1.63318,-0.183
0.15261,0.493866,3.38243,-0.187078
0.123885,0.284757,1.43585,-0.146654
0.0539134,0.0450571,3.70724,-0.73147
0.0612126,0.455015,3.85536,-0.396034
0.0404515,0.184201,2.89308,-0.467003
0.0550338,0.443059,3.66735,-0.58703
0.110644,0.416411,0.326527,-0.522031
0.0909617,0.16857,1.75092,-0.765392
0.140024,0.045147,2.60099,-0.766063
0.121677,0.364393,3.00959,-0.512581
0.0968817,0.166836,3.36556,-0.724827
0.0138459,0.201884,3.86787,-0.818391
0.0806307,0.136944,3.93,-0.74353
0.0952838,0.323876,0.86896,-0.401054
0.0824376,0.304758,0.631391,-0.78337
0.043575,0.201478,2.90303,-0.510929
0.159356,0.358249,1.72254,-0.406321
0.0837081,0.399335,1.08221,-0.445584
0.109411,0.245599,0.578763,-0.519131
0.124281,0.170731,3.97946,-0.511072
0.028388,0.43495,1.76843,-0.346208
0.0883155,0.379925,2.65369,-0.493835
0.0609261,0.247164,1.10241,-0.55455
0.0512555,0.346166,3.58115,-0.386825
0.0267896,0.129124,1.77319,-0.392907
0.117153,0.233524,2.46542,-0.367092
0.103893,0.0644154,3.26295,-0.391746
0.14378,0.443585,1.38362,-0.557864
0.0459481,0.120711,2.63149,-0.631811
0.10169,0.316432,3.51029,-0.817633
0.128554,0.331702,1.47251,-0.304077
0.0639782,0.291451,1.65433,-0.15459
0.105686,0.123123,2.33363,-0.582215
0.0237851,0.0520209,2.008,-0.370671
0.136183,0.406405,1.11267,-0.857435
0.0627708,0.080235,3.97735,-0.849941
0.131578,0.0294398,1.99338,-0.428452
0.0828952,0.130921,3.32527,-0.183038
0.0287494,0.147438,2.09492,-0.324349
0.0938794,0.367601,2.66765,-0.143355
0.0167492,0.486077,3.32659,-0.58407
0.110912,0.0710971,0.856015,-0.258816
0.0861669,0.440944,1.07423,-0.292784
0.0477982,0.382757,3.77149,-0.926253
0.127507,0.431413,3.25144,-0.831505
0.080917,0.392938,2.61488,-0.697468
0.0476322,0.304239,3.44032,-0.133906
0.110039,0.131645,3.13191,-0.920032
0.0608036,0.231849,3.30204,-0.231402
0.131093,0.364634,2.85022,-0.591494
0.14635,0.0412991,0.538498,-0.26047
0.139116,0.169493,1.49692,-0.414252
0.129424,0.242605,1.51322,-0.166461
0.116243,0.150497,3.07671,-0.356737
0.0165476,0.144758,3.40448,-0.160891
0.14352,0.242736,1.15595,-0.750541
0.0173148,0.262135,1.05704,-0.574187
0.108703,0.413564,3.96207,-0.756336
0.042696,0.13549,3.78311,-0.8517
0.134678,0.494655,2.46462,-0.163807
0.134842,0.430428,3.47948,-0.71155
0.114439,0.408737,1.04101,-0.240099
0.0663194,0.0581463,2.57244,-0.705758
0.124209,0.307038,1.60457,-0.525247
0.0470477,0.252693,2.72034,-0.503519
0.0748795,0.438353,0.799024,-0.215536
0.0722678,0.0628644,1.97763,-0.660134
0.0888538,0.423177,1.84745,-0.281515
0.120687,0.446406,0.716028,-0.537492
0.0195646,0.123114,1.11654,-0.347474
0.0415039,0.278097,1.19855,-0.360932
0.0168075,0.360128,3.02472,-0.33789
0.09294,0.159794,3.55203,-0.182077
0.137137,0.198373,2.82801,-0.110598
0.0701047,0.0277573,2.42077,-0.323899
0.0766025,0.407909,2.14669,-0.36416
0.132927,0.420175,3.01645,-0.849266
0.152545,0.372015,0.443875,-0.943492
0.120318,0.179912,2.98501,-0.298812
0.0518604,0.478782,3.974,-0.822937
0.056855,0.147326,0.453501,-0.337294
0.0521509,0.422373,3.61101,-0.290175
0.121452,0.181283,3.9528,-0.488806
0.106196,0.433074,3.82322,-0.465428
0.126825,0.215429,2.99803,-0.347383
0.112187,0.13601,1.17408,-0.747701
0.0130543,0.0698647,1.69982,-0.100479
0.0750877,0.154691,1.44274,-0.430486
0.0524795,0.123011,0.36763,-0.219584
0.054497,0.138096,2.79339,-0.315542
0.155134,0.199656,1.33517,-0.497079
0.0908917,0.172526,2.82845,-0.629213
0.053305,0.0322549,0.438361,-0.770322
0.126472,0.407664,2.95927,-0.861879
0.149097,0.459505,1.03176,-0.452461
0.0526426,0.185577,1.63918,-0.810114
0.115638,0.352886,2.71814,-0.440717
0.013168,0.115555,3.79904,-0.101019
0.147863,0.24697,1.32577,-0.294244
0.0987062,0.376195,3.25177,-0.52089
0.0277122,0.035383,0.809229,-0.740977
0.079955,0.37974,3.16575,-0.71805
0.134972,0.0270259,0.517015,-0.697602
0.0469104,0.437935,3.87781,-0.511973
0.0540887,0.448257,0.830495,-0.647183
0.114242,0.0522636,0.572228,-0.50501
0.0175317,0.148392,3.06211,-0.710857
0.0822251,0.0497179,2.57434,-0.386484
0.0153712,0.250583,2.96397,-0.142433
0.12871,0.147958,0.627245,-0.850597
0.130885,0.463202,2.65756,-0.849409
0.121792,0.221509,3.58269,-0.306822
0.0480117,0.0877723,1.26231,-0.28368
0.0626852,0.276472,0.83013,-0.270688
0.0811513,0.45678,3.39819,-0.362782
0.14217,0.354285,2.98058,-0.786082
0.145126,0.103849,1.84585,-0.817673
0.0875147,0.107749,1.55136,-0.478445
0.128291,0.364777,3.7664,-0.20182
0.0942401,0.457805,1.94346,-0.135595
0.0392169,0.395379,0.63033,-0.574177
0.053895,0.223292,2.50425,-0.601438
0.0339994,0.222814,0.831291,-0.208116
0.0840355,0.250355,3.86494,-0.2172
0.0738003,0.442746,1.65965,-0.548065
0.0754706,0.0546579,0.572245,-0.332002
0.0769025,0.0860542,1.09541,-0.40086
0.104214,0.478004,0.300202,-0.805777
0.0534945,0.313386,3.7917,-0.318809
0.0713172,0.18601,1.35023,-0.773405
0.105875,0.139885,1.81765,-0.293764
0.108124,0.0699396,0.583853,-0.869813
0.117183,0.25062,1.46965,-0.783943
0.0518603,0.0656392,3.91984,-0.551765
0.109321,0.0945236,1.83161,-0.75221
0.0498317,0.249321,2.33858,-0.660246
0.0750502,0.295788,2.16464,-0.188518
0.116285,0.448943,0.586382,-0.620799
0.0660674,0.272923,0.713535,-0.182258
0.0442429,0.443076,0.541651,-0.289907
0.0330047,0.456951,2.03495,-0.676934
0.0503955,0.155204,2.68988,-0.143601
0.0993038,0.240004,2.26066,-0.234176
0.107602,0.315448,1.26628,-0.632263
0.0332876,0.493486,2.5954,-0.139532
0.0808235,0.266976,1.83931,-0.880841
0.0470886,0.438341,1.82013,-0.165333
0.136324,0.0285875,1.23187,-0.419365
0.0884473,0.10904,1.03562,-0.533033
0.0634647,0.423269,2.92596,-0.578977
0.0878787,0.242043,3.82323,-0.594778
